run	1
metric	name	value
total_boot_ns	all	1369503666
dispatch_entries	all	16
encoder_boot_ms	openai_sha256	28
encoder_boot_ms	cl100k_base	52
encoder_boot_ms	o200k_base	102
encoder_boot_ms	p50k_base	23
encoder_boot_ms	openai_cross_check	0
encoder_boot_ms	anthropic-v3-bpe	88
encoder_boot_ms	gemini-1.5-bpe	719
encoder_boot_ms	llama-sentencepiece	347
run	2
metric	name	value
total_boot_ns	all	1342296500
dispatch_entries	all	16
encoder_boot_ms	openai_sha256	27
encoder_boot_ms	cl100k_base	61
encoder_boot_ms	o200k_base	100
encoder_boot_ms	p50k_base	23
encoder_boot_ms	openai_cross_check	0
encoder_boot_ms	anthropic-v3-bpe	90
encoder_boot_ms	gemini-1.5-bpe	711
encoder_boot_ms	llama-sentencepiece	319
run	3
metric	name	value
total_boot_ns	all	1293429333
dispatch_entries	all	16
encoder_boot_ms	openai_sha256	28
encoder_boot_ms	cl100k_base	48
encoder_boot_ms	o200k_base	99
encoder_boot_ms	p50k_base	22
encoder_boot_ms	openai_cross_check	0
encoder_boot_ms	anthropic-v3-bpe	86
encoder_boot_ms	gemini-1.5-bpe	686
encoder_boot_ms	llama-sentencepiece	313
run	4
metric	name	value
total_boot_ns	all	1307945000
dispatch_entries	all	16
encoder_boot_ms	openai_sha256	28
encoder_boot_ms	cl100k_base	48
encoder_boot_ms	o200k_base	97
encoder_boot_ms	p50k_base	23
encoder_boot_ms	openai_cross_check	0
encoder_boot_ms	anthropic-v3-bpe	86
encoder_boot_ms	gemini-1.5-bpe	698
encoder_boot_ms	llama-sentencepiece	317
run	5
metric	name	value
total_boot_ns	all	1320875625
dispatch_entries	all	16
encoder_boot_ms	openai_sha256	28
encoder_boot_ms	cl100k_base	49
encoder_boot_ms	o200k_base	101
encoder_boot_ms	p50k_base	23
encoder_boot_ms	openai_cross_check	0
encoder_boot_ms	anthropic-v3-bpe	90
encoder_boot_ms	gemini-1.5-bpe	706
encoder_boot_ms	llama-sentencepiece	314
run	6
metric	name	value
total_boot_ns	all	1287633167
dispatch_entries	all	16
encoder_boot_ms	openai_sha256	27
encoder_boot_ms	cl100k_base	49
encoder_boot_ms	o200k_base	97
encoder_boot_ms	p50k_base	23
encoder_boot_ms	openai_cross_check	0
encoder_boot_ms	anthropic-v3-bpe	88
encoder_boot_ms	gemini-1.5-bpe	683
encoder_boot_ms	llama-sentencepiece	309
run	7
metric	name	value
total_boot_ns	all	1277066875
dispatch_entries	all	16
encoder_boot_ms	openai_sha256	28
encoder_boot_ms	cl100k_base	50
encoder_boot_ms	o200k_base	97
encoder_boot_ms	p50k_base	22
encoder_boot_ms	openai_cross_check	0
encoder_boot_ms	anthropic-v3-bpe	86
encoder_boot_ms	gemini-1.5-bpe	681
encoder_boot_ms	llama-sentencepiece	302
run	8
metric	name	value
total_boot_ns	all	1272556500
dispatch_entries	all	16
encoder_boot_ms	openai_sha256	27
encoder_boot_ms	cl100k_base	49
encoder_boot_ms	o200k_base	97
encoder_boot_ms	p50k_base	23
encoder_boot_ms	openai_cross_check	0
encoder_boot_ms	anthropic-v3-bpe	88
encoder_boot_ms	gemini-1.5-bpe	672
encoder_boot_ms	llama-sentencepiece	306
run	9
metric	name	value
total_boot_ns	all	1275742583
dispatch_entries	all	16
encoder_boot_ms	openai_sha256	28
encoder_boot_ms	cl100k_base	49
encoder_boot_ms	o200k_base	97
encoder_boot_ms	p50k_base	23
encoder_boot_ms	openai_cross_check	0
encoder_boot_ms	anthropic-v3-bpe	88
encoder_boot_ms	gemini-1.5-bpe	671
encoder_boot_ms	llama-sentencepiece	310
run	10
metric	name	value
total_boot_ns	all	1286875125
dispatch_entries	all	16
encoder_boot_ms	openai_sha256	28
encoder_boot_ms	cl100k_base	49
encoder_boot_ms	o200k_base	98
encoder_boot_ms	p50k_base	22
encoder_boot_ms	openai_cross_check	0
encoder_boot_ms	anthropic-v3-bpe	85
encoder_boot_ms	gemini-1.5-bpe	683
encoder_boot_ms	llama-sentencepiece	311
